periodo,ano,mes,estado,regiao,bioma,cidade,precipitacao_mm_total,precipitacao_dias_sem_chuva,temp_max_media,temp_min_media,registros_diarios,media_hist_mm,anomalia_pct,evento_climatico
201912,2019,12,AL,Nordeste,Mata Atlântica,Maceió,64.3,3,28.87741935483871,24.73548387096774,31,57.2,12.41,normal
202001,2020,1,AL,Nordeste,Mata Atlântica,Maceió,43.6,2,29.296774193548387,25.24516129032258,31,67.04166666666667,-34.97,seca_moderada
202002,2020,2,AL,Nordeste,Mata Atlântica,Maceió,80.9,0,28.889655172413796,25.33103448275862,29,66.83333333333333,21.05,normal
202003,2020,3,AL,Nordeste,Mata Atlântica,Maceió,171.9,1,29.18387096774193,25.432258064516127,31,122.56666666666666,40.25,normal
202004,2020,4,AL,Nordeste,Mata Atlântica,Maceió,118.4,3,28.75333333333333,25.146666666666665,30,110.84166666666665,6.82,normal
202005,2020,5,AL,Nordeste,Mata Atlântica,Maceió,251.9,0,27.583870967741937,24.55483870967742,31,211.17499999999998,19.28,normal
202006,2020,6,AL,Nordeste,Mata Atlântica,Maceió,211.5,0,26.74333333333333,23.74,30,185.45000000000002,14.05,normal
202007,2020,7,AL,Nordeste,Mata Atlântica,Maceió,123.6,0,26.096774193548388,22.783870967741933,31,157.39090909090908,-21.47,normal
202008,2020,8,AL,Nordeste,Mata Atlântica,Maceió,85.0,1,25.851612903225806,22.57741935483871,31,123.98181818181818,-31.44,seca_moderada
202009,2020,9,AL,Nordeste,Mata Atlântica,Maceió,73.3,0,26.19,22.82333333333333,30,79.89090909090909,-8.25,normal
202010,2020,10,AL,Nordeste,Mata Atlântica,Maceió,41.8,4,27.896774193548385,23.816129032258065,31,53.16363636363636,-21.37,normal
202011,2020,11,AL,Nordeste,Mata Atlântica,Maceió,66.7,0,28.276666666666664,24.276666666666664,30,54.25454545454545,22.94,normal
202012,2020,12,AL,Nordeste,Mata Atlântica,Maceió,103.2,0,28.13225806451613,24.274193548387096,31,57.2,80.42,chuva_intensa
202101,2021,1,AL,Nordeste,Mata Atlântica,Maceió,85.9,2,27.896774193548385,24.287096774193547,31,67.04166666666667,28.13,normal
202102,2021,2,AL,Nordeste,Mata Atlântica,Maceió,42.1,3,28.825,24.692857142857143,28,66.83333333333333,-37.01,seca_moderada
202103,2021,3,AL,Nordeste,Mata Atlântica,Maceió,172.2,2,28.029032258064515,24.651612903225807,31,122.56666666666666,40.49,normal
202104,2021,4,AL,Nordeste,Mata Atlântica,Maceió,116.4,1,27.58333333333333,24.423333333333336,30,110.84166666666665,5.01,normal
202105,2021,5,AL,Nordeste,Mata Atlântica,Maceió,187.2,1,26.71935483870968,23.932258064516127,31,211.17499999999998,-11.35,normal
202106,2021,6,AL,Nordeste,Mata Atlântica,Maceió,131.0,1,26.00333333333333,23.116666666666667,30,185.45000000000002,-29.36,normal
202107,2021,7,AL,Nordeste,Mata Atlântica,Maceió,129.1,1,25.76774193548387,22.68064516129032,31,157.39090909090908,-17.97,normal
202108,2021,8,AL,Nordeste,Mata Atlântica,Maceió,152.5,0,25.306451612903224,22.541935483870965,31,123.98181818181818,23.0,normal
202109,2021,9,AL,Nordeste,Mata Atlântica,Maceió,98.3,2,26.363333333333333,23.203333333333333,30,79.89090909090909,23.04,normal
202110,2021,10,AL,Nordeste,Mata Atlântica,Maceió,62.4,1,27.896774193548385,23.9,31,53.16363636363636,17.37,normal
202111,2021,11,AL,Nordeste,Mata Atlântica,Maceió,48.7,2,29.43,24.50333333333333,30,54.25454545454545,-10.24,normal
202112,2021,12,AL,Nordeste,Mata Atlântica,Maceió,74.2,2,29.048387096774192,24.532258064516128,31,57.2,29.72,normal
202201,2022,1,AL,Nordeste,Mata Atlântica,Maceió,75.2,1,28.516129032258064,24.429032258064517,31,67.04166666666667,12.17,normal
202202,2022,2,AL,Nordeste,Mata Atlântica,Maceió,32.800000000000004,1,29.38214285714286,24.62142857142857,28,66.83333333333333,-50.92,seca_moderada
202203,2022,3,AL,Nordeste,Mata Atlântica,Maceió,238.5,1,28.032258064516128,24.364516129032257,31,122.56666666666666,94.59,chuva_intensa
202204,2022,4,AL,Nordeste,Mata Atlântica,Maceió,111.6,2,28.290000000000003,24.336666666666662,30,110.84166666666665,0.68,normal
202205,2022,5,AL,Nordeste,Mata Atlântica,Maceió,337.7,0,27.212903225806453,23.9741935483871,31,211.17499999999998,59.91,chuva_intensa
202206,2022,6,AL,Nordeste,Mata Atlântica,Maceió,394.1,0,25.896666666666665,22.85666666666667,30,185.45000000000002,112.51,enchente_severa
202207,2022,7,AL,Nordeste,Mata Atlântica,Maceió,230.8,0,25.703225806451613,22.51935483870968,31,157.39090909090908,46.64,normal
