periodo,ano,mes,id_categoria,categoria,codigo,nome,unidade,valor
198903,1989,3,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,6.81999298355687
198904,1989,4,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,8.33001328407432
198905,1989,5,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,17.9199698809895
198906,1989,6,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,28.6499913805517
198907,1989,7,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,27.7399781982557
198908,1989,8,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,33.7100177014151
198909,1989,9,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,37.5599986814975
198910,1989,10,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,39.7699962388339
198911,1989,11,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,47.8200013523556
198912,1989,12,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,51.4999991811612
199001,1990,1,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,67.5500022769304
199002,1990,2,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,75.7299986066639
199003,1990,3,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,82.3899996561932
199004,1990,4,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,15.5199994367887
199005,1990,5,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,7.58999959346331
199006,1990,6,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,11.7500003554595
199007,1990,7,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,12.9199996725029
199008,1990,8,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,12.8800001004814
199009,1990,9,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,14.4100001331324
199010,1990,10,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,14.360000224235
199011,1990,11,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,16.8099997421144
199012,1990,12,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,18.4400001214591
199101,1991,1,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,20.7499999998929
199102,1991,2,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,20.7204968944973
199103,1991,3,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,11.9228922274432
199104,1991,4,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,4.98927367451969
199105,1991,5,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,7.43184073796834
199106,1991,6,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,11.1890011954962
199107,1991,7,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,12.4089731684533
199108,1991,8,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,15.6304347826289
199109,1991,9,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,15.6307576611999
199110,1991,10,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,20.229578563966
199111,1991,11,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,25.2102885889731
199112,1991,12,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,23.7093359830779
199201,1992,1,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,25.9402828706209
199202,1992,2,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,24.3199401048005
199203,1992,3,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,21.4002921922404
199204,1992,4,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,19.9299992650712
199205,1992,5,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,24.8600163920702
199206,1992,6,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,20.2102990073923
199207,1992,7,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,21.8300586884413
199208,1992,8,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,22.1400266414289
199209,1992,9,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,24.6299471843048
199210,1992,10,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,25.2399586126395
199211,1992,11,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,22.4900410224186
199212,1992,12,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,25.2399667786607
199301,1993,1,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,30.3499532354874
199302,1993,2,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,24.9800016701904
199303,1993,3,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,27.2600190080482
199304,1993,4,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,27.7499668387366
199305,1993,5,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,27.6899864531981
199306,1993,6,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,30.0700118119261
199307,1993,7,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,30.7200038551982
199308,1993,8,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,32.9600084092141
199309,1993,9,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,35.6899970044235
199310,1993,10,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,33.9199998011862
199311,1993,11,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,35.5600051465149
199312,1993,12,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,36.8400014419342
199401,1994,1,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,41.31
199402,1994,2,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,40.2731583044371
199403,1994,3,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,42.7504792654626
199404,1994,4,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,42.6809443030817
199405,1994,5,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,44.029425606222
199406,1994,6,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,47.4298784157939
199407,1994,7,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,6.84015910602014
199408,1994,8,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,1.86040417935869
199409,1994,9,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,1.5295239932688
199410,1994,10,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,2.6202440775305
199411,1994,11,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,2.8094973561303
199412,1994,12,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,1.7100773487297
199501,1995,1,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,1.7000177085178
199502,1995,2,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,1.01959873856095
199503,1995,3,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,1.55035048071399
199504,1995,4,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,2.43
199505,1995,5,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,2.67
199506,1995,6,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,2.26
199507,1995,7,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,2.36
199508,1995,8,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.99
199509,1995,9,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.99
199510,1995,10,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,1.41
199511,1995,11,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,1.47
199512,1995,12,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,1.56
199601,1996,1,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,1.34
199602,1996,2,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,1.03
199603,1996,3,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.35
199604,1996,4,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,1.26
199605,1996,5,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,1.22
199606,1996,6,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,1.19
199607,1996,7,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,1.11
199608,1996,8,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.44
199609,1996,9,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.15
199610,1996,10,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.3
199611,1996,11,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.32
199612,1996,12,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.47
199701,1997,1,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,1.18
199702,1997,2,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.5
199703,1997,3,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.51
199704,1997,4,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.88
199705,1997,5,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.41
199706,1997,6,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.54
199707,1997,7,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.22
199708,1997,8,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,-0.02
