periodo,ano,mes,estado,cidade,precipitacao_total_mm,precip_max_dia_mm,dias_com_chuva,dias_extremo_leve,dias_extremo_moderado,dias_extremo_severo,dias_consecutivos_max,indice_enchente,risco_enchente
201907,2019,7,PR,Curitiba,28.1,9.4,6,0,0,0,3,7.5,MODERADO
201907,2019,7,PR,Londrina,75.7,52.5,3,1,1,0,3,22.5,CRITICO
201908,2019,8,PR,Curitiba,38.5,16.6,5,0,0,0,2,5.0,MODERADO
201908,2019,8,PR,Londrina,4.6,1.5,2,0,0,0,1,2.5,BAIXO
201909,2019,9,PR,Curitiba,171.6,53.4,10,2,1,0,6,35.0,CRITICO
201909,2019,9,PR,Londrina,55.3,18.7,7,0,0,0,4,10.0,ALTO
201910,2019,10,PR,Curitiba,63.8,14.6,11,0,0,0,3,7.5,MODERADO
201910,2019,10,PR,Londrina,26.6,7.1,6,0,0,0,3,7.5,MODERADO
201911,2019,11,PR,Curitiba,123.4,22.8,13,0,0,0,6,15.0,ALTO
201911,2019,11,PR,Londrina,114.6,27.7,13,0,0,0,4,10.0,ALTO
201912,2019,12,PR,Curitiba,111.1,12.9,16,0,0,0,4,10.0,ALTO
201912,2019,12,PR,Londrina,183.3,33.7,16,3,0,0,9,37.5,CRITICO
202001,2020,1,PR,Curitiba,169.0,31.3,22,1,0,0,6,20.0,CRITICO
202001,2020,1,PR,Londrina,145.0,23.5,17,0,0,0,12,30.0,CRITICO
202002,2020,2,PR,Curitiba,128.6,25.9,19,0,0,0,13,32.5,CRITICO
202002,2020,2,PR,Londrina,173.2,31.3,17,2,0,0,6,25.0,CRITICO
202003,2020,3,PR,Curitiba,56.0,12.7,10,0,0,0,6,15.0,ALTO
202003,2020,3,PR,Londrina,44.4,18.6,6,0,0,0,3,7.5,MODERADO
202004,2020,4,PR,Curitiba,28.3,14.7,4,0,0,0,2,5.0,MODERADO
202004,2020,4,PR,Londrina,51.6,45.0,2,1,0,0,1,7.5,MODERADO
202005,2020,5,PR,Curitiba,57.8,21.9,6,0,0,0,2,5.0,MODERADO
202005,2020,5,PR,Londrina,24.7,7.3,4,0,0,0,2,5.0,MODERADO
202006,2020,6,PR,Curitiba,136.0,55.4,12,1,1,0,6,30.0,CRITICO
202006,2020,6,PR,Londrina,165.0,65.6,11,1,1,0,5,27.5,CRITICO
202007,2020,7,PR,Curitiba,34.3,14.9,7,0,0,0,2,5.0,MODERADO
202007,2020,7,PR,Londrina,14.0,7.9,4,0,0,0,1,2.5,BAIXO
202008,2020,8,PR,Curitiba,134.9,27.7,8,0,0,0,8,20.0,CRITICO
202008,2020,8,PR,Londrina,145.7,49.9,9,2,0,0,9,32.5,CRITICO
202009,2020,9,PR,Curitiba,14.6,5.1,5,0,0,0,2,5.0,MODERADO
202009,2020,9,PR,Londrina,24.2,17.7,4,0,0,0,3,7.5,MODERADO
202010,2020,10,PR,Curitiba,94.3,21.5,12,0,0,0,3,7.5,MODERADO
202010,2020,10,PR,Londrina,33.0,6.1,10,0,0,0,2,5.0,MODERADO
202011,2020,11,PR,Curitiba,142.3,29.3,21,0,0,0,14,35.0,CRITICO
202011,2020,11,PR,Londrina,78.3,37.3,7,1,0,0,3,12.5,ALTO
202012,2020,12,PR,Curitiba,206.9,22.2,25,0,0,0,11,27.5,CRITICO
202012,2020,12,PR,Londrina,193.8,18.2,24,0,0,0,12,30.0,CRITICO
202101,2021,1,PR,Curitiba,228.3,42.0,31,2,0,0,31,87.5,CRITICO
202101,2021,1,PR,Londrina,260.9,26.0,27,0,0,0,11,27.5,CRITICO
202102,2021,2,PR,Curitiba,152.3,25.5,20,0,0,0,9,22.5,CRITICO
202102,2021,2,PR,Londrina,103.6,19.7,14,0,0,0,6,15.0,ALTO
202103,2021,3,PR,Curitiba,139.3,16.2,24,0,0,0,12,30.0,CRITICO
202103,2021,3,PR,Londrina,166.9,30.8,17,1,0,0,9,27.5,CRITICO
202104,2021,4,PR,Curitiba,43.8,15.2,10,0,0,0,3,7.5,MODERADO
202104,2021,4,PR,Londrina,6.0,2.0,2,0,0,0,1,2.5,BAIXO
202105,2021,5,PR,Curitiba,60.6,26.8,4,0,0,0,2,5.0,MODERADO
202105,2021,5,PR,Londrina,65.5,17.8,5,0,0,0,2,5.0,MODERADO
202106,2021,6,PR,Curitiba,115.2,53.6,9,1,1,0,3,22.5,CRITICO
202106,2021,6,PR,Londrina,74.3,30.0,11,0,0,0,5,12.5,ALTO
202107,2021,7,PR,Curitiba,28.0,21.2,2,0,0,0,1,2.5,BAIXO
202107,2021,7,PR,Londrina,13.4,6.3,3,0,0,0,2,5.0,MODERADO
202108,2021,8,PR,Curitiba,90.9,35.6,10,1,0,0,4,15.0,ALTO
202108,2021,8,PR,Londrina,19.1,9.1,4,0,0,0,3,7.5,MODERADO
202109,2021,9,PR,Curitiba,51.6,9.5,9,0,0,0,4,10.0,ALTO
202109,2021,9,PR,Londrina,18.1,9.3,3,0,0,0,2,5.0,MODERADO
202110,2021,10,PR,Curitiba,237.1,47.6,20,1,0,0,5,17.5,ALTO
202110,2021,10,PR,Londrina,246.0,54.9,17,1,1,0,6,30.0,CRITICO
202111,2021,11,PR,Curitiba,82.1,21.7,15,0,0,0,4,10.0,ALTO
202111,2021,11,PR,Londrina,109.2,43.7,9,1,0,0,3,12.5,ALTO
202112,2021,12,PR,Curitiba,100.4,13.4,21,0,0,0,6,15.0,ALTO
202112,2021,12,PR,Londrina,55.4,21.6,8,0,0,0,4,10.0,ALTO
202201,2022,1,PR,Curitiba,212.3,32.0,23,1,0,0,17,47.5,CRITICO
202201,2022,1,PR,Londrina,200.8,25.6,25,0,0,0,13,32.5,CRITICO
202202,2022,2,PR,Curitiba,86.7,30.1,18,1,0,0,6,20.0,CRITICO
202202,2022,2,PR,Londrina,98.1,14.8,15,0,0,0,6,15.0,ALTO
202203,2022,3,PR,Curitiba,193.4,30.0,25,0,0,0,13,32.5,CRITICO
202203,2022,3,PR,Londrina,279.8,31.6,22,1,0,0,13,37.5,CRITICO
202204,2022,4,PR,Curitiba,92.7,24.7,15,0,0,0,5,12.5,ALTO
202204,2022,4,PR,Londrina,67.7,13.8,8,0,0,0,3,7.5,MODERADO
202205,2022,5,PR,Curitiba,109.6,44.5,10,1,0,0,4,15.0,ALTO
202205,2022,5,PR,Londrina,66.5,23.7,7,0,0,0,2,5.0,MODERADO
202206,2022,6,PR,Curitiba,83.6,30.4,6,1,0,0,2,10.0,ALTO
202206,2022,6,PR,Londrina,128.3,49.1,10,1,0,0,4,15.0,ALTO
202207,2022,7,PR,Curitiba,26.1,8.6,4,0,0,0,3,7.5,MODERADO
202207,2022,7,PR,Londrina,20.4,8.0,4,0,0,0,2,5.0,MODERADO
202208,2022,8,PR,Curitiba,157.5,43.3,10,1,0,0,5,17.5,ALTO
202208,2022,8,PR,Londrina,133.1,51.3,7,1,1,0,3,22.5,CRITICO
202209,2022,9,PR,Curitiba,260.4,45.4,19,3,0,0,7,32.5,CRITICO
202209,2022,9,PR,Londrina,256.0,58.1,15,2,2,0,4,40.0,CRITICO
202210,2022,10,PR,Curitiba,115.0,16.5,18,0,0,0,11,27.5,CRITICO
202210,2022,10,PR,Londrina,159.7,27.4,17,0,0,0,6,15.0,ALTO
202211,2022,11,PR,Curitiba,126.3,21.8,18,0,0,0,11,27.5,CRITICO
202211,2022,11,PR,Londrina,58.6,21.7,8,0,0,0,2,5.0,MODERADO
202212,2022,12,PR,Curitiba,184.7,20.2,24,0,0,0,14,35.0,CRITICO
202212,2022,12,PR,Londrina,220.0,34.4,21,1,0,0,7,22.5,CRITICO
202301,2023,1,PR,Curitiba,179.7,28.8,24,0,0,0,14,35.0,CRITICO
202301,2023,1,PR,Londrina,268.4,55.1,21,2,1,0,12,50.0,CRITICO
202302,2023,2,PR,Curitiba,185.6,22.4,24,0,0,0,16,40.0,CRITICO
202302,2023,2,PR,Londrina,312.5,29.6,25,0,0,0,10,25.0,CRITICO
202303,2023,3,PR,Curitiba,129.0,21.2,19,0,0,0,7,17.5,ALTO
202303,2023,3,PR,Londrina,135.0,25.4,17,0,0,0,8,20.0,CRITICO
202304,2023,4,PR,Curitiba,86.5,25.6,10,0,0,0,5,12.5,ALTO
202304,2023,4,PR,Londrina,151.9,53.6,13,1,1,0,7,32.5,CRITICO
202305,2023,5,PR,Curitiba,31.4,14.1,7,0,0,0,3,7.5,MODERADO
202305,2023,5,PR,Londrina,37.3,10.5,5,0,0,0,2,5.0,MODERADO
202306,2023,6,PR,Curitiba,108.1,42.0,5,2,0,0,4,20.0,CRITICO
202306,2023,6,PR,Londrina,122.9,65.5,4,2,1,0,4,30.0,CRITICO
202307,2023,7,PR,Curitiba,77.0,25.6,9,0,0,0,4,10.0,ALTO
202307,2023,7,PR,Londrina,17.3,9.7,2,0,0,0,1,2.5,BAIXO
202308,2023,8,PR,Curitiba,105.1,29.9,11,0,0,0,6,15.0,ALTO
202308,2023,8,PR,Londrina,41.1,14.0,7,0,0,0,3,7.5,MODERADO
202309,2023,9,PR,Curitiba,121.5,22.3,13,0,0,0,7,17.5,ALTO
202309,2023,9,PR,Londrina,46.4,14.3,7,0,0,0,2,5.0,MODERADO
202310,2023,10,PR,Curitiba,321.1,75.8,22,3,1,0,8,45.0,CRITICO
202310,2023,10,PR,Londrina,267.5,51.3,19,3,1,0,7,42.5,CRITICO
202311,2023,11,PR,Curitiba,112.5,20.2,16,0,0,0,5,12.5,ALTO
202311,2023,11,PR,Londrina,181.7,22.3,19,0,0,0,9,22.5,CRITICO
202312,2023,12,PR,Curitiba,65.9,15.6,10,0,0,0,5,12.5,ALTO
202312,2023,12,PR,Londrina,78.7,14.5,10,0,0,0,6,15.0,ALTO
202401,2024,1,PR,Curitiba,156.6,17.2,25,0,0,0,14,35.0,CRITICO
